Village,a village nearish to spawn,0,[ -283 / 64 / 1080 ]
Coral Forest,close to the base. we should build a conduit here,0,[ -1804 / 62 / 1388 ]
Island Base,This is our main starting base,0,[ -2123 / 67 / 1706 ]
Treasure Island,there was a buried treasure here but I already dug it up. Good place to get more sand.,0,[ -2447 / 58 / 1985 ]
Village,plains village close to the island base,0,[ -2920 / 62 / 1753 ]
Cave Spider Spawner,spider spawner near to spawn,0,[ -158 / 55 / -450 ]
Village,a village in the desert by a desert temple and the ocean,0,[ -241 / 66 / -240 ]
Zombie Spawner,zombie spawner near spawn,0,[ -250 / 66 / -240 ]
Desert Temple,desert temple near a village and close to spawn,0,[ -307 / 64 / 882 ]
Main Nether Portal,the nether portal for the island base,1,[ -265 / 87 / 215 ]
Cracked Portal,a cracked portal by the dark oak forset,0,[ -2169 / 64 / 2129 ]
